,city,term,country,suffix
354,akron,akronite,United States,ite
2023,perth,perthite,,ite
639,shillong,shillongite,India,ite
2632,irmo,irmite,,ite
1876,carson city,carsonite,,ite
1983,mersin,mersinite,,ite
306,warangal,warangalite,India,ite
2639,mon state,monite,,ite
576,geelong,geelongite,Australia,ite
2659,shillong,shillongite,,ite
3033,ioannina,ioannite,Greece,ite
324,noida,noidite,India,ite
2651,pullman,pullmanite,,ite
91,denver,denverite,United States,ite
395,spokane,spokanite,United States,ite
2621,decatur,decaturite,,ite
654,guelph,guelphite,Canada,ite
2616,bronx,bronxite,,ite
2614,bergen county,bergenite,,ite
268,hartford,hartfordite,United States,ite
376,belgaum,belgaumites,India,ite
2615,boulder,boulderite,,ite
2667,warangal,warangalite,,ite
2060,saint paul,saint paulite,,ite
1893,delhi,delhiite,,ite
2624,denver,denverite,,ite
10,moscow,muscovite,Russia,ite
464,lansing,lansingite,United States,ite
1998,nanaimo,nanaimoite,,ite
2112,waco,wacoite,,ite
2620,dallas,dallasite,,ite
365,pohang,pohangite,South Korea,ite
2608,akron,akronite,,ite
197,ranchi,ranchite,India,ite
3349,unao,unnaoite,India,ite
2638,manhattan,manhattanite,,ite
2619,chennai,chennaiite,,ite
89,cawnpore,kanpurite,India,ite
2611,austin,austinite,,ite
2673,wyoming,wyomingite,,ite
40,dallas,dallasite,United States,ite
279,bhubaneshwar,bhubaneswarite,India,ite
2042,randall,randallite,,ite
13,karachi,karachiite,Pakistan,ite
332,jurong,jurong,China,ite
1924,gwangju,gwangjuite,,ite
2634,karachi,karachiite,,ite
2637,leicester,leicesterit,,ite
2633,jerusalem,jerusalemite,,ite
86,brooklyn,brooklynite,United States,ite
2623,denton  texas,dentonite,,ite
1973,mackay,mackayite,,ite
2635,kweyol,kweyolite,,ite
0,tokyo,tokyoite,Japan,ite
2668,wenham,wenhamite,,ite
2642,mumbai,mumbaiite,,ite
1444,moskva,muscovite,Tajikistan,ite
2650,perth,perthites,,ite
946,bodmin,bodminite,United Kingdom,ite
436,sasaram,sasaramite,India,ite
2612,bagansiapiapi,bagansiapiapite,,ite
298,trivandrum,trivandrumite,India,ite
387,reno,renoites,United States,ite
2644,norman,normanite,,ite
2645,oban,obanite,,ite
262,trichinopoly,tiruchiite,India,ite
200,raleigh,raleighite,United States,ite
2640,moscow,muscovites,,ite
1886,columbus,columbusite,,ite
1877,casper,casperite,,ite
1923,gumi,gumite,,ite
381,worthing,worthingite,United Kingdom,ite
2617,brooklyn,brooklynite,,ite
1925,gyeongju,gyeongjuite,,ite
1869,cairns,cairnsite,,ite
3233,bokaro,bokaroite,India,ite
2663,telangana,telanganite,,ite
484,anchorage,anchoragite,United States,ite
1981,marshall,marshallite,,ite
2643,new hampshire,new hampshirite,,ite
2925,plano,planoite,United States,ite
822,arendal,arendalite,Norway,ite
1835,adana,adanite,,ite
335,raurkela,rourkelite,India,ite
407,seremban,serembanite,Malaysia,ite
2641,montpelier,montpelierite,,ite
2647,pahang,pahangite,,ite
826,matale,mathalites,Sri Lanka,ite
3331,mulug,mulugite,India,ite
2630,gaya,gayaite,,ite
12,istanbul,istanbulite,Turkey,ite
2061,salem,salemite,,ite
598,adoni,adonite,India,ite
2669,westchester county,westchesterite,,ite
2671,winston salem,winston salemite,,ite
2674,yangon,yangonite,,ite
545,yonkers,yonkersite,United States,ite
1883,cheyenne,cheyenneite,,ite
340,durban,durbanite,South Africa,ite
62,harbin,harbinite,China,ite
2121,yeosu,yeosuite,,ite
1955,konya,konyanite,,ite
1908,everett,everettite,,ite
2665,vancouver,vancouverite,,ite
2670,whittier,whittierite,,ite
1946,juneau city,juneauite,,ite
67,seattle,seattleite,United States,ite
95,daegu,daeguite,South Korea,ite
803,vidin,vidinite,Bulgaria,ite
2660,smyrna,smynit,,ite
2628,durban,durbanite,,ite
111,vishakhapatnam,vizagite,India,ite
1772,irungalur,tiruchiite,India,ite
2664,tokyo,tokyoite,,ite
2631,guelph,guelphite,,ite
2656,seattle,seattleite,,ite
2672,wrexham,wrexhamite,,ite
911,gjirokaster,gjirokastrite,Albania,ite
601,kanchipuram,kanchipuramites,India,ite
2078,somers,somersite,,ite
546,dindigul,dindigulite,India,ite
3265,west vancouver,west vancouverite,Canada,ite
752,malappuram,malappuramite,India,ite
509,katihar,katiharites,India,ite
1942,jeonju,jeonjuite,,ite
155,kharkiv,kharkivite,Ukraine,ite
727,dunedin,dunedinite,New Zealand,ite
2657,seoul,seoulite,,ite
3147,eagan,eaganite,United States,ite
2626,dubai,dubaiite,,ite
371,jammu,jammuites,India,ite
2654,reading,readingite,,ite
2953,khammam,khammamite,India,ite
5,seoul,seoulite,South Korea,ite
584,unnao,unnaoites,India,ite
2646,odesa,odesite,,ite
2627,dunedin,dunedinite,,ite
2648,patna,patnaite,,ite
2055,rockhampton,rockhamptonite,,ite
2022,penang,penangite,,ite
2613,baku,bakuvite,,ite
1940,izmit,izmitite,,ite
1840,ammon,ammonite,,ite
2618,carson,carsonite,,ite
3357,malaimarpuram,malappuramite,India,ite
153,bronx,bronxite,United States,ite
1534,brenham,brenhamite,United States,ite
2064,samsun,samsunite,,ite
98,queens,queensite,United States,ite
1957,kuching,kuchingite,,ite
2928,lubbock,lubbockite,United States,ite
2044,reading,readingite,,ite
150,valencia,valencian,Venezuela,n
1408,albania,albanian,Colombia,n
497,brahmanbaria,brahmanbarian,Bangladesh,n
301,mississauga,mississaugan,Canada,n
1092,gandia,gandian,Spain,n
283,omaha,omahan,United States,n
2991,las cruces,las crucen,United States,n
1293,dagami,dagamin,Philippines,n
1865,bossangoa,bossangoan,,n
492,bukhara,bukharan,Uzbekistan,n
1785,bohemia,bohemian,United States,n
948,senglea,senglean,Malta,n
52,alexandria,alexandrian,Egypt,n
532,damietta,damiettan,Egypt,n
2982,valdivia,valdivian,Chile,n
1327,colombia,colombian,Cuba,n
470,armenia,armenian,Colombia,n
930,tlaxcala,tlaxcalan,Mexico,n
1926,haifa,haifan,,n
42,giza,gizan,Egypt,n
1939,ithaca,ithacan,,n
1313,almora,almoran,India,n
667,kenosha,kenoshan,United States,n
626,pasadena,pasadenan,United States,n
193,sevilla,sevillan,Spain,n
1203,segovia,segovian,Spain,n
538,geneva,genevan,Switzerland,n
1081,uvinza,uvinzan,Tanzania,n
45,ankara,ankaran,Turkey,n
846,montana,montanan,Bulgaria,n
1549,laconia,laconian,United States,n
1833,andalusia,andalusian,United States,n
469,oaxaca,oaxacan,Mexico,n
214,ottawa,ottawan,Canada,n
2013,osaka,osakan,,n
2067,santa barbara,santa barbaran,,n
303,tulsa,tulsan,United States,n
50,atlanta,atlantan,United States,n
2029,pompeii,pompeian,,n
987,dangriga,dangrigan,Belize,n
113,tijuana,tijuanan,Mexico,n
2122,yogyakarta,yogyakartan,,n
24,luanda,luandan,Angola,n
209,odesa,odesan,Ukraine,n
666,zacatecas,zacatecan,Mexico,n
1997,nagoya,nagoyan,,n
44,philadelphia,philadelphian,United States,n
1975,malatya,malatyan,,n
2069,santa monica,santa monican,,n
3082,nibria,nibrian,India,n
1067,torrevieja,torreviejan,Spain,n
990,lija,lijan,Malta,n
1845,antakya,antakyan,,n
937,pljevlja,pljevljan,Montenegro,n
1873,canberra,canberran,,n
1135,virginia,virginian,South Africa,n
3071,covina,covinan,United States,n
1857,beersheba,beersheban,,n
2000,napier,napieran,,n
786,chania,chanian,Greece,n
1106,quillota,quillotan,Chile,n
978,siparia,siparian,Trinidad and Tobago,n
2931,peoria,peorian,United States,n
1094,fazilka,fazilkan,India,n
1816,angola,angolan,United States,n
518,granada,granadan,Spain,n
2952,arica,arican,Chile,n
1125,zenica,zenican,Bosnia and Herzegovina,n
1195,america,american,United States,n
2056,rotorua,rotoruan,,n
655,guagua,guaguan,Philippines,n
478,comilla,comillian,Bangladesh,n
2099,toowoomba,toowoomban,,n
3,manila,manilan,Philippines,n
1005,qrendi,qrendin,Malta,n
247,oklahoma city,oklahoman,United States,n
8,kolkata,kolkatan,India,n
294,samarinda,samarindan,Indonesia,n
2068,santa clarita,santa claritan,,n
1950,kastoria,kastorian,,n
2110,villanova,villanovan,,n
1792,madeira,madeiran,United States,n
1945,juba,juban,,n
1916,gaza,gazan,,n
3154,isabela,isabelan,Philippines,n
234,nicosia,nicosian,Cyprus,n
1126,altamura,altamuran,Italy,n
1618,california,californian,United States,n
2117,wichita,wichitan,,n
146,sofia,sofian,Bulgaria,n
2003,netanya,netanyan,,n
998,gudja,gudjan,Malta,n
2092,tasmania,tasmanian,,n
2,mumbai,mumbaikar,India,kar
28,pune,punekar,India,kar
97,nagpur,nagpurkar,India,kar
121,thane,thanekar,India,kar
148,nasik,nashikkar,India,kar
161,aurangabad,aurangabadkar,India,kar
179,vasai,vasaikar,India,kar
296,dhule,dhulekar,India,kar
349,kolhapur,kolhapurkar,India,kar
351,nanded,nandedkar,India,kar
352,amravati,amravatikar,India,kar
388,jalgaon,jalgaonkar,India,kar
396,sangli,sanglikar,India,kar
403,akola,akolekar,India,kar
439,ahmadnagar,ahmednagarkar,India,kar
454,ratnagiri,ratnagirikar,India,kar
463,panvel,panvelkar,India,kar
467,parbhani,parbhanikar,India,kar
559,shrirampur,shrirampurkar,India,kar
577,kottayam,kottayamkar,India,kar
582,mahad,mahadkar,India,kar
681,yavatmal,yavatmalkar,India,kar
732,marmagao,mormugaokar,India,kar
842,panaji,ponnjekar,India,kar
928,sakri,sakrikar,India,kar
1020,karwar,karwarkar,India,kar
1051,madgaon,madgaonkar,India,kar
1102,ambajogai,ambajogaikar,India,kar
1118,goa,goenkar,Philippines,kar
1177,anjangaon,anjangaonkar,India,kar
1197,phaltan,phaltankar,India,kar
1239,medak,medakakar,India,kar
1245,yeola,yeolekar,India,kar
1317,pulgaon,pulgaonkar,India,kar
1356,uran,urankar,India,kar
1673,kamalnagar,kamalnagarkar,India,kar
1829,kalyan,kalyankar,India,kar
3003,gondia,gondiakar,India,kar
3158,washim,washimkar,India,kar
3179,wani,wanikar,India,kar
3283,tasgaon,tasgaonkar,India,kar
3284,purna,purnakar,India,kar
3285,risod,risodkar,India,kar
3288,satana,satanakar,India,kar
3294,taloda,talodekar,India,kar
3302,narayankhed,narayankhedkar,India,kar
3316,siolim,siolkar,India,kar
3319,pitlam,pitlamkar,India,kar
3327,manne ekeli,mannaekhallikar,India,kar
3334,darwa,darwhakar,India,kar
3335,ghogaon,ghogaonkar,India,kar
3336,kawadgaon,kaudgaonkar,India,kar
3337,walur,walurkar,India,kar
3353,ghat borul,ghatboralkar,India,kar
4,shanghai,shanghainese,China,nese
23,hangzhou,hangzhounese,China,nese
47,suzhou,suzhounese,China,nese
60,shijiazhuang,shijiazhuangnese,China,nese
77,brasilia,brasiliense,Brazil,nese
96,fortaleza,fortalezense,Brazil,nese
386,manado,manadonese,Indonesia,nese
1868,bursa,bursanese,,nese
1910,fethiye,fethiyennese,,nese
2778,emirate of fujairah,fujairahnese,,nese
2792,macao,macanese,,nese
2798,negeri sembilan,negeri sembilanese,,nese
2803,rakhine state,arakanese,,nese
2804,ras al khaimah,khaimahnese,,nese
2805,saba,sabanese,,nese
2807,san marino,sammarinese,,nese
2811,shan state,shanese,,nese
2813,emirate of sharjah,sharjahnese,,nese
6,cairo,cairene,Egypt,ene
127,damascus,damascene,Syria,ene
741,nazareth,nazarene,Israel,ene
2021,palmyra,palmyrene,,ene
2749,cairo,cairene,,ene
2750,cyrenaica,cyrene,,ene
2751,damascus,damascene,,ene
2752,nazareth,nazarene,,ene
2753,palmyra,palmyrene,,ene
7,dhaka,dhakaiya,Bangladesh,iya
156,khulna,khulnaiya,Bangladesh,iya
187,amritsar,amritsariya,India,iya
274,jalandhar,jalandhariya,India,iya
416,darbhanga,darbhangiya,India,iya
424,rohtak,rohtakiya,India,iya
443,alwar,alwariya,India,iya
447,sambalpur,sambalpuriya,India,iya
617,pathankot,pathankotiya,India,iya
671,ghazipur,ghazipuriya,India,iya
951,chhapra,chaprahiya,India,iya
1178,pithoragarh,pithoragarhiya,India,iya
1204,sujanpur,sujanpuriya,India,iya
2040,rajshahi,rajshahiya,,iya
2968,jamalpur,jamalpuriya,Bangladesh,iya
3277,hailakandi,hailakandiya,India,iya
3287,kareli,kareliya,India,iya
3303,kanpur,kanpuriya,India,iya
3312,phulwar,phulwariya,India,iya
3323,sathmalpur,sambalpuriya,India,iya
3326,gidhaura,gidhauriya,India,iya
3343,dholbaja,dholbajiya,India,iya
3350,chhapera,chaprahiya,India,iya
204,bogor,bogorian,Indonesia,ian
186,ulsan,ulsanian,South Korea,ian
473,stockport,stopfordian,United Kingdom,ian
2476,calgary,calgarian,,ian
2115,waterloo,waterluvian,,ian
245,vatican city,vaticanian,Vatican City,ian
554,cosenza,cosentians,Italy,ian
2484,chester,cestrian,,ian
1083,arsikere,arsikerian,India,ian
2530,paris,parisian,,ian
2528,new orleans,new orleanian,,ian
635,abohar,aboharias,India,ian
2098,timaru,timaruvian,,ian
2521,mckinney,mckinnian,,ian
2964,albacete,albacetian,Spain,ian
2506,iowa city,iowa citian,,ian
1899,duluth,duluthian,,ian
723,charlottesville,charlottesvillian,United States,ian
2548,sicily,sicilian,,ian
59,boston,bostonian,United States,ian
331,knoxville,knoxvillian,United States,ian
1897,diyarbakir,diyarbakirian,,ian
1194,galveston,galvestonian,United States,ian
2889,yanggok,yangkokian,South Korea,ian
2458,ayeyarwady,ayeyarwadian,,ian
180,jacksonville,jacksonvillian,United States,ian
3115,north merrick,north merokian,United States,ian
2551,stockport,stopfordian,,ian
2497,greenville,greenvillian,,ian
41,houston,houstonian,United States,ian
189,aligarh,aligarian,India,ian
3292,vadippatti,vadipattian,India,ian
429,coventry,coventrian,United Kingdom,ian
2020,palmerston,palmerstonian,,ian
2045,red deer,red deerian,,ian
1884,chilliwack,chilliwackian,,ian
445,huntsville,huntsvillian,United States,ian
775,anuradhapura,anuradhapurian,Sri Lanka,ian
2514,lesbos,lesbian,,ian
2111,ville platte,ville platian,,ian
236,gibraltar,gibraltarian,Gibraltar,ian
1934,holon,holonian,,ian
1991,moose jaw,moose javian,,ian
219,vilnius,vilnian,Lithuania,ian
75,athens,athenian,Greece,ian
3061,handeni,handenian,Tanzania,ian
759,yambol,yambolian,Bulgaria,ian
2444,grenada,grenadian,,ian
3149,etawa,etawian,India,ian
877,kurunegala,kurunegalians,Sri Lanka,ian
809,waterford,waterfordian,Ireland,ian
3305,vennandur,vennandurian,India,ian
1579,forfar,forfarian,United Kingdom,ian
2052,rhodes,rhodian,,ian
3230,cedar hill,cedarhillian,United States,ian
2519,madrid,madrilenian,,ian
1836,albany,albanian,,ian
3068,barrow,barrovian,United Kingdom,ian
1889,dalaman,dalamanian,,ian
2979,harrow,harrovian,United Kingdom,ian
1459,corinth,corinthian,United States,ian
2505,scilly,scillonian,,ian
2082,spoleto,spoletian,,ian
1880,chelmsford,chelmsfordian,,ian
2547,shrewsbury,salopian,,ian
772,runcorn,runcornian,United Kingdom,ian
1962,leeds,leodensian,,ian
1552,bolivia,bolivian,Cuba,ian
2011,omak,omakian,,ian
1722,grand rapids,grand rapidian,United States,ian
3155,dhuburi,dhubrian,India,ian
3325,puduvayal,puduvayalian,India,ian
553,luxor,luxorian,Egypt,ian
2929,etawah,etawian,India,ian
2542,rockwall county,rockwallian,,ian
3307,dirba,dirbian,India,ian
510,saskatoon,saskatonian,Canada,ian
2461,bareilly,bareillia,,ian
1881,cheltenham,cheltonian,,ian
2560,wellington,wellingtonian,,ian
904,arbroath,arbroathian,United Kingdom,ian
2490,darwin,darwinian,,ian
2543,saint petersburg,saint petersburgians,,ian
1984,megara,megarian,,ian
2494,edmonton,edmontonian,,ian
2477,canary,canarian,,ian
1986,memphis,memphian,,ian
1929,hanover,hanoverian,,ian
2545,saskatoon,saskatonian,,ian
2482,cedar rapids,cedar rapidian,,ian
273,tucson,tucsonian,United States,ian
1371,sevenoaks,sennockian,United Kingdom,ian
2504,houston,houstonian,,ian
1952,kingston,kingstonian,,ian
3250,svishtov,svishtovian,Bulgaria,ian
2449,palestine,palestinian,,ian
423,scranton,scrantonian,United States,ian
779,wellingborough,wellingburian,United Kingdom,ian
2754,reading,readingensian,,ian
2031,port moresby,port moresbian,,ian
66,busan,busanian,South Korea,ian
2965,barrie,barrian,Canada,ian
2486,chittagong,chittagonian,,ian
1838,almera,almerian,,ian
1706,healdsburg,healdsburgian,United States,ian
1891,darwin,darwinian,,ian
1905,erzurum,erzurumian,,ian
120,san antonio,san antonian,United States,ian
2108,van,vanian,,ian
712,roubaix,roubaisian,France,ian
541,deltona,deltonian,United States,ian
291,nottingham,nottinghamian,United Kingdom,ian
2456,argyll,argathelian,,ian
1864,bolton,boltonian,,ian
3162,widnes,widnesian,United Kingdom,ian
2941,evansville,evansvillian,United States,ian
1951,kayseri,kayserian,,ian
2440,ecuador,ecuadorian,,ian
2532,perak,perakian,,ian
2035,preston,prestonian,,ian
1933,hobart,hobartian,,ian
607,chittoor,chitoorian,India,ian
2107,tyre,tyrian,,ian
1851,ashkelon,ashkelonian,,ian
2479,cape town,capetonian,,ian
1565,lewes,lewesian,United Kingdom,ian
19,paris,parisian,France,ian
622,dibrugarh,dibrugarhian,India,ian
2537,podgorica,podgorician,,ian
498,plymouth,plymothian,United Kingdom,ian
2553,tanintharyi,tanintharian,,ian
958,carnoustie,carnoustian,United Kingdom,ian
2508,kachin,kachinian,,ian
663,colchester,colcestrian,United Kingdom,ian
1489,oregon,oregonian,United States,ian
2933,mckinney,mckinnian,United States,ian
2523,memphis,memphian,,ian
2944,tiptur,tipturians,India,ian
668,blackburn,blackburnian,United Kingdom,ian
2533,peterborough,peterborian,,ian
482,ismailia,ismailian,Egypt,ian
203,changwon,changwonian,South Korea,ian
285,krakow,cracovian,Poland,ian
1490,kittur,kitturian,India,ian
952,bartica,bartician,Guyana,ian
1904,epidaurus,epidaurian,,ian
1958,lancaster,lancastrian,,ian
1902,eilat,eilatian,,ian
479,bradford,bradfordian,United Kingdom,ian
2469,boston,bostonian,,ian
3163,reston,restonian,United States,ian
2546,savannah,savannahian,,ian
2985,sibiu,sibian,Romania,ian
2443,gibraltar,gibraltarian,,ian
2534,phoenix,phoenician,,ian
2493,duluth,duluthian,,ian
1076,hengelo,hengolian,Netherlands,ian
1560,leixlip,leixlipian,Ireland,ian
3346,baghduma,baghdumian,India,ian
2962,barakpur,barrakpurian,India,ian
2025,peterborough,peterbourian,,ian
2039,pylos,pylian,,ian
593,silchar,silcharian,India,ian
2555,thrace,thracian,,ian
2014,oshawa,oshawian,,ian
1152,chalkida,chalcidian,Greece,ian
2556,towcester,towcestrian,,ian
2433,belarus,belarusian,,ian
2470,bracknell,bracknellian,,ian
2524,michigan,michiganians,,ian
2562,yukon,yukonian,,ian
2495,fort worth,fort worthian,,ian
2437,cayman islands,caymanian,,ian
2552,swindon,swindonian,,ian
791,florida,floridian,Argentina,ian
1896,devonport,devonportian,,ian
2450,peru,peruvian,,ian
3355,navipet,navipetian,India,ian
2471,bradford,bradfordian,,ian
3297,jevargi,jevargian,India,ian
2507,jessup,jessupian,,ian
2049,reykjavi­k,reykjavikian,,ian
2453,ukraine,ukrainian,,ian
1853,balikesir,balikesirian,,ian
1287,bartlesville,bartian,United States,ian
1948,kansas city,kansas citian,,ian
2430,azerbaijan,azerbaijanians,,ian
2047,rethymno,rethymnian,,ian
814,worksop,worksopian,United Kingdom,ian
929,greystones,greystonian,Ireland,ian
2030,ponferrada,ponferradian,,ian
2540,rochdale,rochdalian,,ian
2983,lake charles,lake charlesian,United States,ian
1123,bundaberg,bundabergian,Australia,ian
2457,athens,athenian,,ian
2549,solihull,silhillian,,ian
737,chester,cestrian,United Kingdom,ian
2510,kingston,kingstonian,,ian
2539,rivers state,riverian,,ian
1248,charlottetown,charlottetonian,Canada,ian
2503,hesse,hessian,,ian
329,glasgow,glaswegian,United Kingdom,ian
3101,milford,milfordian,United Kingdom,ian
472,montpellier,montpellirian,France,ian
2455,alabama,alabamian,,ian
565,hagerstown,hagerstonian,United States,ian
2093,taunton,tauntonian,,ian
1912,finchley,finchleian,,ian
1839,alpine,alpinian,,ian
128,brussels,brusselian,Belgium,ian
267,fort worth,fort worthian,United States,ian
233,wellington,wellingtonian,New Zealand,ian
1874,cardiff,cardiffian,,ian
1475,baroda,barodian,India,ian
2536,port harcourt,harcourtian,,ian
2483,chelmsford,chelmsfordian,,ian
2016,oswestry,oswestrian,,ian
652,brighton,brightonian,United Kingdom,ian
347,bristol,bristolian,United Kingdom,ian
2083,springfield,springfieldian,,ian
2512,lancashire,lancastrian,,ian
2518,madison,madisonian,,ian
1895,derry,derrian,,ian
319,sargodha,sargodhian,Pakistan,ian
2527,new guinea,new guinian,,ian
1978,marathon,marathonian,,ian
2454,aarhus,aarhusian,,ian
2119,wythenshawe,wythenshavian,,ian
2550,south carolina,south carolinian,,ian
55,izmir,izmirian,Turkey,ian
2428,yuma,yumian,,ian
2984,naperville,napervillian,United States,ian
